Evaluation1,Evaluation2,Assessement1,Evaluation3,FinalAssessement
5.48,6.48,7.11,7.48,7.54
3.18,4.18,5.39,5.18,6.39
4.48,5.48,6.36,6.48,7.04
4.71,5.71,6.54,6.71,7.16
3.78,4.78,5.83,5.78,6.69
6.35,7.35,7.76,8.35,7.98
5.58,6.58,7.19,7.58,7.59
8.57,9.57,9.43,10,9.09
4.63,5.63,6.47,6.63,7.11
8.44,9.44,9.33,10,9.02
4.01,5.01,6.01,6.01,6.81
8.25,9.25,9.19,10,8.92
7.05,8.05,8.29,9.05,8.32
6.34,7.34,7.76,8.34,7.97
4.5,5.5,6.38,6.5,7.05
8.09,9.09,9.06,10,8.84
5.21,6.21,6.9,7.21,7.4
6.8,7.8,8.1,8.8,8.2
3.01,4.01,5.26,5.01,6.31
9.49,10,10,10,9.54
7.23,8.23,8.42,9.23,8.42
3.52,4.52,5.64,5.52,6.56
7.57,8.57,8.68,9.57,8.59
5.01,6.01,6.75,7.01,7.3
6.14,7.14,7.61,8.14,7.87
1.77,2.77,4.33,3.77,5.69
8.95,9.95,9.71,10,9.27
6.65,7.65,7.99,8.65,8.12
5.2,6.2,6.9,7.2,7.4
4.57,5.57,6.43,6.57,7.08
4.8,5.8,6.6,6.8,7.2
4.62,5.62,6.46,6.62,7.11
6.39,7.39,7.79,8.39,8
9.66,10,10,10,9.63
3.16,4.16,5.37,5.16,6.38
2.88,3.88,5.16,4.88,6.24
5.8,6.8,7.35,7.8,7.7
4.81,5.81,6.61,6.81,7.2
4.8,5.8,6.6,6.8,7.2
4.86,5.86,6.65,6.86,7.23
7.46,8.46,8.59,9.46,8.53
7.52,8.52,8.64,9.52,8.56
4.92,5.92,6.69,6.92,7.26
10,10,10,10,9.95
2.15,3.15,4.61,4.15,5.87
4.56,5.56,6.42,6.56,7.08
9.53,10,10,10,9.57
5.04,6.04,6.78,7.04,7.32
10,10,10,10,10
7.27,8.27,8.45,9.27,8.44
3.92,4.92,5.94,5.92,6.76
6.71,7.71,8.03,8.71,8.15
4.97,5.97,6.73,6.97,7.29
6.32,7.32,7.74,8.32,7.96
6.81,7.81,8.1,8.81,8.2
5.99,6.99,7.49,7.99,7.79
6.69,7.69,8.02,8.69,8.14
5.91,6.91,7.43,7.91,7.75
6.62,7.62,7.96,8.62,8.11
7.36,8.36,8.52,9.36,8.48
5.21,6.21,6.91,7.21,7.4
5.14,6.14,6.86,7.14,7.37
5.82,6.82,7.36,7.82,7.71
4.98,5.98,6.73,6.98,7.29
5.86,6.86,7.4,7.86,7.73
6.92,7.92,8.19,8.92,8.26
6,7,7.5,8,7.8
9.3,10,9.97,10,9.45
7.66,8.66,8.75,9.66,8.63
5.96,6.96,7.47,7.96,7.78
7.87,8.87,8.9,9.87,8.73
2.94,3.94,5.21,4.94,6.27
4.96,5.96,6.72,6.96,7.28
6.89,7.89,8.17,8.89,8.24
7.62,8.62,8.72,9.62,8.61
3.95,4.95,5.96,5.95,6.77
4.1,5.1,6.07,6.1,6.85
6.02,7.02,7.52,8.02,7.81
8.01,9.01,9.01,10,8.81
2.56,3.56,4.92,4.56,6.08
5.47,6.47,7.1,7.47,7.53
6.26,7.26,7.69,8.26,7.93
7.32,8.32,8.49,9.32,8.46
8.49,9.49,9.36,10,9.04
7.25,8.25,8.44,9.25,8.43
4.95,5.95,6.71,6.95,7.28
5.89,6.89,7.42,7.89,7.75
6.98,7.98,8.24,8.98,8.29
8.64,9.64,9.48,10,9.12
8.93,9.93,9.7,10,9.26
5.58,6.58,7.19,7.58,7.59
5.47,6.47,7.11,7.47,7.54
9.2,10,9.9,10,9.4
8.33,9.33,9.25,10,8.97
6.39,7.39,7.79,8.39,8
7.46,8.46,8.6,9.46,8.53
6.28,7.28,7.71,8.28,7.94
6.5,7.5,7.87,8.5,8.05
8.13,9.13,9.1,10,8.87
5.14,6.14,6.86,7.14,7.37
8.03,9.03,9.02,10,8.81
5.06,6.06,6.8,7.06,7.33
8.29,9.29,9.21,10,8.94
9.06,10,9.79,10,9.33
4.15,5.15,6.11,6.15,6.87
5.37,6.37,7.03,7.37,7.49
1.28,0.28,2.04,0.72,4.16
4.57,5.57,6.43,6.57,7.09
7.05,8.05,8.29,9.05,8.33
4.66,5.66,6.5,6.66,7.13
5.95,6.95,7.46,7.95,7.78
4.9,5.9,6.67,6.9,7.25
7.08,8.08,8.31,9.08,8.34
5.17,6.17,6.88,7.17,7.38
4.11,5.11,6.08,6.11,6.85
6.68,7.68,8.01,8.68,8.14
6.18,7.18,7.63,8.18,7.89
7.12,8.12,8.34,9.12,8.36
7.68,8.68,8.76,9.68,8.64
6.91,7.91,8.18,8.91,8.26
2.72,3.72,5.04,4.72,6.16
5.93,6.93,7.45,7.93,7.76
4.52,5.52,6.39,6.52,7.06
4.62,5.62,6.47,6.62,7.11
4.9,5.9,6.68,6.9,7.25
3.13,4.13,5.35,5.13,6.37
5.99,6.99,7.49,7.99,7.79
4.8,5.8,6.6,6.8,7.2
3.45,4.45,5.59,5.45,6.52
6.6,7.6,7.95,8.6,8.1
5.79,6.79,7.34,7.79,7.7
5.45,6.45,7.09,7.45,7.53
6.56,7.56,7.92,8.56,8.08
6.11,7.11,7.58,8.11,7.85
3.6,4.6,5.7,5.6,6.6
4.07,5.07,6.06,6.07,6.84
9.62,10,10,10,9.61
7.47,8.47,8.6,9.47,8.54
6.12,7.12,7.59,8.12,7.86
8.23,9.23,9.17,10,8.91
3.95,4.95,5.96,5.95,6.77
6.57,7.57,7.93,8.57,8.09
4.08,5.08,6.06,6.08,6.84
2.94,3.94,5.21,4.94,6.27
5.41,6.41,7.05,7.41,7.5
6.13,7.13,7.59,8.13,7.86
8.02,9.02,9.01,10,8.81
7.1,8.1,8.33,9.1,8.35
6.26,7.26,7.69,8.26,7.93
7.18,8.18,8.38,9.18,8.39
8.67,9.67,9.5,10,9.14
6.78,7.78,8.09,8.78,8.19
4.71,5.71,6.53,6.71,7.16
3.58,4.58,5.68,5.58,6.59
4.55,5.55,6.41,6.55,7.07
3.6,4.6,5.7,5.6,6.6
8.77,9.77,9.58,10,9.19
7.8,8.8,8.85,9.8,8.7
4.82,5.82,6.62,6.82,7.21
7.18,8.18,8.38,9.18,8.39
3.84,4.84,5.88,5.84,6.72
6.3,7.3,7.73,8.3,7.95
6.85,7.85,8.14,8.85,8.22
9.12,10,9.84,10,9.36
5.67,6.67,7.25,7.67,7.63
3.82,4.82,5.87,5.82,6.71
7.32,8.32,8.49,9.32,8.46
2.46,3.46,4.85,4.46,6.03
6.93,7.93,8.19,8.93,8.26
7.96,8.96,8.97,9.96,8.78
8.25,9.25,9.19,10,8.92
6.36,7.36,7.77,8.36,7.98
7.12,8.12,8.34,9.12,8.36
4.62,5.62,6.46,6.62,7.11
5.92,6.92,7.44,7.92,7.76
9.53,10,10,10,9.57
8.29,9.29,9.22,10,8.95
2.49,3.49,4.87,4.49,6.05
5.03,6.03,6.77,7.03,7.31
2.67,3.67,5,4.67,6.13
9.11,10,9.83,10,9.35
3.83,4.83,5.87,5.83,6.72
5.25,6.25,6.94,7.25,7.42
8.53,9.53,9.4,10,9.07
7.18,8.18,8.39,9.18,8.39
6.36,7.36,7.77,8.36,7.98
6.4,7.4,7.8,8.4,8
2.91,3.91,5.19,4.91,6.26
6.99,7.99,8.24,8.99,8.29
8.32,9.32,9.24,10,8.96
5.25,6.25,6.94,7.25,7.43
2.23,3.23,4.67,4.23,5.91
7.58,8.58,8.68,9.58,8.59
6.99,7.99,8.24,8.99,8.29
0.79,1.79,3.59,2.79,5.19
5.18,6.18,6.88,7.18,7.39
6.05,7.05,7.54,8.05,7.82
8.35,9.35,9.26,10,8.98
7.47,8.47,8.6,9.47,8.53
8.22,9.22,9.16,10,8.91
7.8,8.8,8.85,9.8,8.7
4.02,5.02,6.02,6.02,6.81
4.44,5.44,6.33,6.44,7.02
4.18,5.18,6.13,6.18,6.89
9.47,10,10,10,9.54
4.11,5.11,6.08,6.11,6.86
4.29,5.29,6.21,6.29,6.94
7.98,8.98,8.99,9.98,8.79
5.41,6.41,7.06,7.41,7.5
9.23,10,9.92,10,9.41
2.21,3.21,4.66,4.21,5.91
2.63,3.63,4.97,4.63,6.12
3.8,4.8,5.85,5.8,6.7
10,10,10,10,10
8,9,9,10,8.8
6.82,7.82,8.11,8.82,8.21
7.13,8.13,8.35,9.13,8.36
5.39,6.39,7.04,7.39,7.49
4.78,5.78,6.59,6.78,7.19
5.52,6.52,7.14,7.52,7.56
5.89,6.89,7.42,7.89,7.75
8.3,9.3,9.23,10,8.95
6.36,7.36,7.77,8.36,7.98
9.77,10,10,10,9.69
7.72,8.72,8.79,9.72,8.66
5.38,6.38,7.04,7.38,7.49
6.14,7.14,7.6,8.14,7.87
9.51,10,10,10,9.55
3.68,4.68,5.76,5.68,6.64
4.61,5.61,6.46,6.61,7.11
5.27,6.27,6.96,7.27,7.44
4.36,5.36,6.27,6.36,6.98
8.53,9.53,9.4,10,9.06
10,10,10,10,10
7.54,8.54,8.66,9.54,8.57
6.84,7.84,8.13,8.84,8.22
3.47,4.47,5.6,5.47,6.54
5.21,6.21,6.91,7.21,7.4
3.31,4.31,5.48,5.31,6.45
6.89,7.89,8.17,8.89,8.25
5.34,6.34,7.01,7.34,7.47
5.91,6.91,7.43,7.91,7.76
6.46,7.46,7.84,8.46,8.03
9.58,10,10,10,9.59
3.93,4.93,5.95,5.93,6.76
6.73,7.73,8.05,8.73,8.17
5.88,6.88,7.41,7.88,7.74
8.39,9.39,9.29,10,8.99
4.61,5.61,6.46,6.61,7.1
7.1,8.1,8.33,9.1,8.35
6.4,7.4,7.8,8.4,8
7.07,8.07,8.3,9.07,8.33
5.12,6.12,6.84,7.12,7.36
